x                   v                   t
0.0316198          -0.0120741                6.37
0.0314993          -0.0120281                6.38
0.0313792          -0.0119823                6.39
0.0312596          -0.0119366                 6.4
0.0311405          -0.0118911                6.41
0.0310218          -0.0118458                6.42
0.0309036          -0.0118007                6.43
0.0307858          -0.0117558                6.44
0.0306684           -0.011711                6.45
0.0305515          -0.0116664                6.46
0.0304351           -0.011622                6.47
0.0303191          -0.0115777                6.48
0.0302036          -0.0115336                6.49
0.0300884          -0.0114896                 6.5
0.0299738          -0.0114459                6.51
0.0298595          -0.0114023                6.52
0.0297457          -0.0113588                6.53
0.0296323          -0.0113156                6.54
0.0295194          -0.0112725                6.55
0.0294069          -0.0112295                6.56
0.0292948          -0.0111868                6.57
0.0291832          -0.0111441                6.58
0.0290719          -0.0111017                6.59
0.0289611          -0.0110594                 6.6
0.0288507          -0.0110173                6.61
0.0287408          -0.0109753                6.62
0.0286312          -0.0109335                6.63
0.0285221          -0.0108918                6.64
0.0284134          -0.0108503                6.65
0.0283051           -0.010809                6.66
0.0281972          -0.0107678                6.67
0.0280897          -0.0107268                6.68
0.0279827          -0.0106859                6.69
0.027876          -0.0106452                 6.7
0.0277698          -0.0106047                6.71
0.0276639          -0.0105643                6.72
0.0275585           -0.010524                6.73
0.0274534          -0.0104839                6.74
0.0273488           -0.010444                6.75
0.0272446          -0.0104042                6.76
0.0271407          -0.0103646                6.77
0.0270373          -0.0103251                6.78
0.0269342          -0.0102857                6.79
0.0268316          -0.0102465                 6.8
0.0267293          -0.0102075                6.81
0.0266274          -0.0101686                6.82
0.0265259          -0.0101299                6.83
0.0264248          -0.0100913                6.84
0.0263241          -0.0100528                6.85
0.0262238          -0.0100145                6.86
0.0261238         -0.00997637                6.87
0.0260242         -0.00993836                6.88
0.025925          -0.0099005                6.89
0.0258262         -0.00986278                 6.9
0.0257278          -0.0098252                6.91
0.0256297         -0.00978776                6.92
0.025532         -0.00975047                6.93
0.0254347         -0.00971332                6.94
0.0253378         -0.00967631                6.95
0.0252412         -0.00963944                6.96
0.025145         -0.00960271                6.97
0.0250491         -0.00956612                6.98
0.0249536         -0.00952968                6.99
0.0248585         -0.00949336                   7
0.0247638         -0.00945719                7.01
0.0246694         -0.00942116                7.02
0.0245753         -0.00938526                7.03
0.0244817          -0.0093495                7.04
0.0243884         -0.00931387                7.05
0.0242954         -0.00927839                7.06
0.0242028         -0.00924303                7.07
0.0241105         -0.00920781                7.08
0.0240186         -0.00917273                7.09
0.0239271         -0.00913778                 7.1
0.0238359         -0.00910296                7.11
0.023745         -0.00906827                7.12
0.0236545         -0.00903372                7.13
0.0235643         -0.00899929                7.14
0.0234745           -0.008965                7.15
0.023385         -0.00893084                7.16
0.0232959         -0.00889681                7.17
0.0232071         -0.00886291                7.18
0.0231187         -0.00882913                7.19
0.0230305         -0.00879549                 7.2
0.0229427         -0.00876198                7.21
0.0228553         -0.00872859                7.22
0.0227682         -0.00869533                7.23
0.0226814         -0.00866219                7.24
0.0225949         -0.00862918                7.25
0.0225088          -0.0085963                7.26
0.022423         -0.00856354                7.27
0.0223375         -0.00853091                7.28
0.0222524          -0.0084984                7.29
0.0221676         -0.00846602                 7.3
0.0220831         -0.00843375                7.31
0.0219989         -0.00840162                7.32
0.021915          -0.0083696                7.33
0.0218315         -0.00833771                7.34
0.0217483         -0.00830593                7.35
0.0216654         -0.00827428                7.36
0.0215828         -0.00824275                7.37
0.0215005         -0.00821134                7.38
0.0214186         -0.00818005                7.39
0.0213369         -0.00814887                 7.4
0.0212556         -0.00811782                7.41
0.0211746         -0.00808688                7.42
0.0210938         -0.00805607                7.43
0.0210134         -0.00802536                7.44
0.0209333         -0.00799478                7.45
0.0208535         -0.00796431                7.46
0.020774         -0.00793396                7.47
0.0206949         -0.00790373                7.48
0.020616         -0.00787361                7.49
